id,code,name,user_type_id/id,chart_template_id:id,reconcile
115002_account_Muhlhel,115002G0,Patents,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
115003_account_Muhlhel,115003G0,Trademarks,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
115004_account_Muhlhel,115004G0,Software and System,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
116001_account_Muhlhel,116001G0,Organization Expense,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
116002_account_Muhlhel,116002G0,Advertising and Promotion,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
117001_account_Muhlhel,117001G0,Deferred Income Tax ,account.data_account_type_fixed_assets,account_arabic_coa_general,FALSE
121102_account_Muhlhel,121102G0,Foreign Currency Fund,account.data_account_type_liquidity,account_arabic_coa_general,FALSE
121202_account_Muhlhel,121202G0,Foreign Currency Bank,account.data_account_type_liquidity,account_arabic_coa_general,FALSE
121301_account_Muhlhel,121301G0,PayPal,account.data_account_type_credit_card,account_arabic_coa_general,FALSE
121302_account_Muhlhel,121302G0,Visa Card,account.data_account_type_credit_card,account_arabic_coa_general,FALSE
121303_account_Muhlhel,121303G0,Master Card,account.data_account_type_credit_card,account_arabic_coa_general,FALSE
121401_account_Muhlhel,121401G0,Current Transfer,account.data_account_type_current_assets,account_arabic_coa_general,TRUE
122001_account_Muhlhel,122001G0,Inventory,account.data_account_type_current_assets,account_arabic_coa_general,FALSE
123001_account_Muhlhel,123001G0,Accounts of Local Debtors,account.data_account_type_receivable,account_arabic_coa_general,TRUE
123002_account_Muhlhel,123002G0,Accounts of International Debtors,account.data_account_type_receivable,account_arabic_coa_general,TRUE
123003_account_Muhlhel,123003G0,Loans and Pledge of Employees,account.data_account_type_receivable,account_arabic_coa_general,TRUE
123004_account_Muhlhel,123004G0,Companies and Branches,account.data_account_type_receivable,account_arabic_coa_general,TRUE
123007_account_Muhlhel,123007G0,Accounts Payable With Debit Balances,account.data_account_type_receivable,account_arabic_coa_general,TRUE
123008_account_Muhlhel,123008G0,Other Receivables,account.data_account_type_receivable,account_arabic_coa_general,TRUE
124001_account_Muhlhel,124001G0,Prepaid Rents,account.data_account_type_current_assets,account_arabic_coa_general,FALSE
124002_account_Muhlhel,124002G0,Prepaid Wages,account.data_account_type_current_assets,account_arabic_coa_general,FALSE
125001_account_Muhlhel,125001G0,Profit on others,account.data_account_type_receivable,account_arabic_coa_general,TRUE
211001_account_Muhlhel,211001G0,Owners share 1,account.data_account_type_equity,account_arabic_coa_general,FALSE
211002_account_Muhlhel,211002G0,Owners share 2,account.data_account_type_equity,account_arabic_coa_general,FALSE
221001_account_Muhlhel,221001G0,Owners Profits 1,account.data_account_type_equity,account_arabic_coa_general,FALSE
221002_account_Muhlhel,221002G0,Owners Profits 2,account.data_account_type_equity,account_arabic_coa_general,FALSE
222001_account_Muhlhel,222001G0,Profits and Losses Current year,account.data_unaffected_earnings,account_arabic_coa_general,FALSE
222002_account_Muhlhel,222002G0,Profits and Losses Previous years,account.data_account_type_equity,account_arabic_coa_general,FALSE
231001_account_Muhlhel,231001G0,Local Creditor Accounts,account.data_account_type_payable,account_arabic_coa_general,TRUE
231002_account_Muhlhel,231002G0,International Creditor Accounts,account.data_account_type_payable,account_arabic_coa_general,TRUE
